ft_id,account_id,period_id,tax_type_cd,ft_type_cd,amount,currency_cd,ft_date,status
FT0000096,ACCT0004,PER202403,VAT,BILL,299748.9,KES,2024-03-01,FROZEN
FT0000097,ACCT0004,PER202401,VAT,BILL,361040.61,KES,2024-01-01,FROZEN
FT0000098,ACCT0004,PER202401,VAT,PAY,-360441.82,KES,2024-02-05,FROZEN
FT0000099,ACCT0004,PER202208,VAT,BILL,431439.98,KES,2022-08-01,FROZEN
FT0000100,ACCT0004,PER202208,VAT,PAY,-410327.93,KES,2022-09-10,FROZEN
FT0000101,ACCT0004,PER202410,VAT,BILL,244875.52,KES,2024-10-01,FROZEN
FT0000102,ACCT0004,PER202410,VAT,PAY,-187066.18,KES,2024-11-15,FROZEN
FT0000103,ACCT0004,PER202210,VAT,BILL,163256.24,KES,2022-10-01,FROZEN
FT0000104,ACCT0004,PER202210,VAT,PAY,-95182.38,KES,2022-10-15,FROZEN
FT0000105,ACCT0004,PER202405,VAT,BILL,110906.67,KES,2024-05-01,FROZEN
FT0000106,ACCT0004,PER202405,VAT,PAY,-77471.51,KES,2024-05-30,FROZEN
FT0000107,ACCT0004,PER202207,VAT,BILL,212971.04,KES,2022-07-01,FROZEN
FT0000108,ACCT0004,PER202205,VAT,BILL,429082.36,KES,2022-05-01,FROZEN
FT0000109,ACCT0004,PER202205,VAT,ADJ,-12721.54,KES,2022-05-31,FROZEN
FT0000110,ACCT0004,PER202201,VAT,BILL,377970.19,KES,2022-01-01,FROZEN
FT0000111,ACCT0004,PER202202,VAT,BILL,375020.26,KES,2022-02-01,FROZEN
FT0000112,ACCT0004,PER202202,VAT,PAY,-323249.3,KES,2022-02-15,FROZEN
FT0000113,ACCT0004,PER202402,VAT,BILL,245392.79,KES,2024-02-01,FROZEN
FT0000114,ACCT0004,PER202402,VAT,PAY,-221178.45,KES,2024-02-26,FROZEN
FT0000115,ACCT0005,PER202411,VAT,BILL,434091.42,KES,2024-11-01,FROZEN
FT0000116,ACCT0005,PER202411,VAT,PAY,-284804.68,KES,2024-11-21,FROZEN
FT0000117,ACCT0005,PER202202,VAT,BILL,381808.71,KES,2022-02-01,FROZEN
FT0000118,ACCT0005,PER202202,VAT,PAY,-363178.7,KES,2022-02-27,FROZEN
FT0000119,ACCT0005,PER202202,VAT,ADJ,-36700.73,KES,2022-02-28,FROZEN
FT0000120,ACCT0005,PER202402,VAT,BILL,272012.43,KES,2024-02-01,FROZEN
FT0000121,ACCT0005,PER202412,VAT,BILL,391710.36,KES,2024-12-01,FROZEN
FT0000122,ACCT0005,PER202412,VAT,PAY,-373119.76,KES,2024-12-16,FROZEN
FT0000123,ACCT0005,PER202412,VAT,PEN,20383.82,KES,2025-01-21,FROZEN
FT0000124,ACCT0005,PER202206,VAT,BILL,67479.38,KES,2022-06-01,FROZEN
FT0000125,ACCT0005,PER202206,VAT,PAY,-56573.48,KES,2022-06-14,FROZEN
FT0000126,ACCT0005,PER202309,VAT,BILL,187603.11,KES,2023-09-01,FROZEN
FT0000127,ACCT0005,PER202309,VAT,PAY,-202281.34,KES,2023-10-16,FROZEN
FT0000128,ACCT0005,PER202309,VAT,PEN,24750.5,KES,2023-10-21,FROZEN
FT0000129,ACCT0005,PER202302,VAT,BILL,58508.88,KES,2023-02-01,FROZEN
FT0000130,ACCT0005,PER202302,VAT,PAY,-40205.8,KES,2023-03-16,FROZEN
FT0000131,ACCT0005,PER202205,VAT,BILL,471027.95,KES,2022-05-01,FROZEN
FT0000132,ACCT0005,PER202205,VAT,PAY,-402850.76,KES,2022-06-10,FROZEN
FT0000133,ACCT0006,PER202208,CIT,BILL,425539.94,KES,2022-08-01,FROZEN
FT0000134,ACCT0006,PER202208,CIT,PEN,62162.35,KES,2022-09-21,FROZEN
FT0000135,ACCT0006,PER202203,CIT,BILL,415210.12,KES,2022-03-01,FROZEN
FT0000136,ACCT0006,PER202311,CIT,BILL,482909.5,KES,2023-11-01,FROZEN
FT0000137,ACCT0006,PER202311,CIT,PAY,-475627.0,KES,2023-12-05,FROZEN
FT0000138,ACCT0006,PER202404,CIT,BILL,413738.63,KES,2024-04-01,FROZEN
FT0000139,ACCT0006,PER202404,CIT,PAY,-286879.23,KES,2024-04-16,FROZEN
FT0000140,ACCT0006,PER202404,CIT,ADJ,31579.11,KES,2024-04-30,FROZEN
FT0000141,ACCT0006,PER202312,CIT,BILL,125712.4,KES,2023-12-01,FROZEN
FT0000142,ACCT0006,PER202312,CIT,PAY,-108891.96,KES,2023-12-25,FROZEN
FT0000143,ACCT0006,PER202411,CIT,BILL,165882.01,KES,2024-11-01,FROZEN
FT0000144,ACCT0006,PER202411,CIT,PAY,-118256.45,KES,2024-11-17,FROZEN
FT0000145,ACCT0006,PER202305,CIT,BILL,352085.96,KES,2023-05-01,FROZEN
FT0000146,ACCT0006,PER202305,CIT,PAY,-178187.42,KES,2023-05-13,FROZEN
FT0000147,ACCT0006,PER202305,CIT,PEN,42957.12,KES,2023-06-21,FROZEN
FT0000148,ACCT0006,PER202309,CIT,BILL,380291.5,KES,2023-09-01,FROZEN
FT0000149,ACCT0006,PER202309,CIT,PAY,-337524.58,KES,2023-10-02,FROZEN
FT0000150,ACCT0006,PER202309,CIT,ADJ,-15650.09,KES,2023-09-30,FROZEN
FT0000151,ACCT0006,PER202211,CIT,BILL,205178.56,KES,2022-11-01,FROZEN
FT0000152,ACCT0006,PER202211,CIT,PAY,-184327.5,KES,2022-11-24,FROZEN
FT0000153,ACCT0006,PER202201,CIT,BILL,215624.39,KES,2022-01-01,FROZEN
FT0000154,ACCT0007,PER202308,VAT,BILL,346630.96,KES,2023-08-01,FROZEN
FT0000155,ACCT0007,PER202308,VAT,PAY,-326929.42,KES,2023-08-18,FROZEN
FT0000156,ACCT0007,PER202305,VAT,BILL,264695.25,KES,2023-05-01,FROZEN
FT0000157,ACCT0007,PER202305,VAT,PAY,-148312.89,KES,2023-05-13,FROZEN
FT0000158,ACCT0007,PER202303,VAT,BILL,154622.46,KES,2023-03-01,FROZEN
FT0000159,ACCT0007,PER202303,VAT,PEN,8434.9,KES,2023-04-21,FROZEN
FT0000160,ACCT0007,PER202303,VAT,ADJ,-6428.07,KES,2023-03-31,FROZEN
FT0000161,ACCT0007,PER202208,VAT,BILL,472324.36,KES,2022-08-01,FROZEN
FT0000162,ACCT0007,PER202208,VAT,PAY,-449499.43,KES,2022-08-07,FROZEN
FT0000163,ACCT0007,PER202301,VAT,BILL,237351.49,KES,2023-01-01,FROZEN
FT0000164,ACCT0007,PER202301,VAT,PAY,-144931.14,KES,2023-01-04,FROZEN
FT0000165,ACCT0007,PER202211,VAT,BILL,61473.13,KES,2022-11-01,FROZEN
FT0000166,ACCT0007,PER202211,VAT,PAY,-48874.09,KES,2022-12-07,FROZEN
FT0000167,ACCT0007,PER202211,VAT,ADJ,-4312.98,KES,2022-11-30,FROZEN
FT0000168,ACCT0007,PER202204,VAT,BILL,283605.6,KES,2022-04-01,FROZEN
FT0000169,ACCT0007,PER202204,VAT,PAY,-310931.25,KES,2022-04-08,FROZEN
FT0000170,ACCT0007,PER202312,VAT,BILL,300082.79,KES,2023-12-01,FROZEN
FT0000171,ACCT0007,PER202312,VAT,PAY,-289704.76,KES,2023-12-25,FROZEN
FT0000172,ACCT0007,PER202306,VAT,BILL,430782.5,KES,2023-06-01,FROZEN
FT0000173,ACCT0007,PER202401,VAT,BILL,306767.3,KES,2024-01-01,FROZEN
FT0000174,ACCT0008,PER202305,VAT,BILL,207216.2,KES,2023-05-01,FROZEN
FT0000175,ACCT0008,PER202305,VAT,PAY,-162032.19,KES,2023-05-03,FROZEN
FT0000176,ACCT0008,PER202206,VAT,BILL,352978.84,KES,2022-06-01,FROZEN
FT0000177,ACCT0008,PER202206,VAT,PAY,-322068.82,KES,2022-06-17,FROZEN
FT0000178,ACCT0008,PER202211,VAT,BILL,332285.61,KES,2022-11-01,FROZEN
FT0000179,ACCT0008,PER202304,VAT,BILL,325579.19,KES,2023-04-01,FROZEN
FT0000180,ACCT0008,PER202304,VAT,ADJ,-21753.72,KES,2023-04-30,FROZEN
FT0000181,ACCT0008,PER202212,VAT,BILL,157267.85,KES,2022-12-01,FROZEN
FT0000182,ACCT0008,PER202306,VAT,BILL,66555.06,KES,2023-06-01,FROZEN
FT0000183,ACCT0008,PER202306,VAT,PAY,-61220.02,KES,2023-06-18,FROZEN
FT0000184,ACCT0008,PER202203,VAT,BILL,44818.72,KES,2022-03-01,FROZEN
FT0000185,ACCT0008,PER202203,VAT,PAY,-34027.14,KES,2022-03-21,FROZEN
FT0000186,ACCT0008,PER202203,VAT,ADJ,-2429.85,KES,2022-03-31,FROZEN
FT0000187,ACCT0008,PER202411,VAT,BILL,338777.69,KES,2024-11-01,FROZEN
FT0000188,ACCT0008,PER202411,VAT,ADJ,17938.98,KES,2024-11-30,FROZEN
FT0000189,ACCT0008,PER202201,VAT,BILL,411603.52,KES,2022-01-01,FROZEN
FT0000190,ACCT0008,PER202201,VAT,PAY,-394260.77,KES,2022-01-12,FROZEN
FT0000191,ACCT0009,PER202212,PAYE,BILL,56776.94,KES,2022-12-01,FROZEN
FT0000192,ACCT0009,PER202212,PAYE,PAY,-42411.64,KES,2023-01-01,FROZEN
FT0000193,ACCT0009,PER202404,PAYE,BILL,407715.19,KES,2024-04-01,FROZEN
FT0000194,ACCT0009,PER202404,PAYE,PAY,-315121.25,KES,2024-04-21,FROZEN
FT0000195,ACCT0009,PER202408,PAYE,BILL,387411.22,KES,2024-08-01,FROZEN
FT0000196,ACCT0009,PER202408,PAYE,ADJ,28619.42,KES,2024-08-31,FROZEN
FT0000197,ACCT0009,PER202206,PAYE,BILL,233678.29,KES,2022-06-01,FROZEN
FT0000198,ACCT0009,PER202206,PAYE,PAY,-189527.96,KES,2022-07-10,FROZEN
FT0000199,ACCT0009,PER202407,PAYE,BILL,381195.32,KES,2024-07-01,FROZEN
FT0000200,ACCT0009,PER202407,PAYE,PAY,-316213.63,KES,2024-07-19,FROZEN
FT0000201,ACCT0009,PER202412,PAYE,BILL,65105.91,KES,2024-12-01,FROZEN
FT0000202,ACCT0009,PER202302,PAYE,BILL,83397.19,KES,2023-02-01,FROZEN
FT0000203,ACCT0009,PER202302,PAYE,PAY,-69332.32,KES,2023-02-06,FROZEN
FT0000204,ACCT0009,PER202211,PAYE,BILL,61163.25,KES,2022-11-01,FROZEN
FT0000205,ACCT0009,PER202405,PAYE,BILL,466663.26,KES,2024-05-01,FROZEN
FT0000206,ACCT0009,PER202405,PAYE,PAY,-430845.44,KES,2024-05-27,FROZEN
FT0000207,ACCT0009,PER202310,PAYE,BILL,125646.8,KES,2023-10-01,FROZEN
FT0000208,ACCT0009,PER202310,PAYE,PAY,-91741.21,KES,2023-11-08,FROZEN
FT0000209,ACCT0010,PER202306,PAYE,BILL,145005.3,KES,2023-06-01,FROZEN
FT0000210,ACCT0010,PER202306,PAYE,PAY,-123568.1,KES,2023-07-13,FROZEN
FT0000211,ACCT0010,PER202403,PAYE,BILL,271597.39,KES,2024-03-01,FROZEN
FT0000212,ACCT0010,PER202403,PAYE,PAY,-225738.29,KES,2024-04-04,FROZEN
FT0000213,ACCT0010,PER202310,PAYE,BILL,435452.83,KES,2023-10-01,FROZEN
FT0000214,ACCT0010,PER202409,PAYE,BILL,428726.42,KES,2024-09-01,FROZEN
FT0000215,ACCT0010,PER202409,PAYE,PAY,-296209.57,KES,2024-10-01,FROZEN
FT0000216,ACCT0010,PER202412,PAYE,BILL,196108.98,KES,2024-12-01,FROZEN
FT0000217,ACCT0010,PER202412,PAYE,PAY,-194628.07,KES,2024-12-10,FROZEN
FT0000218,ACCT0010,PER202412,PAYE,ADJ,89.86,KES,2024-12-31,FROZEN
FT0000219,ACCT0010,PER202411,PAYE,BILL,297139.31,KES,2024-11-01,FROZEN
FT0000220,ACCT0010,PER202201,PAYE,BILL,265345.79,KES,2022-01-01,FROZEN
FT0000221,ACCT0010,PER202201,PAYE,PAY,-247691.35,KES,2022-01-27,FROZEN
FT0000222,ACCT0011,PER202407,VAT,BILL,426908.96,KES,2024-07-01,FROZEN
FT0000223,ACCT0011,PER202305,VAT,BILL,360765.13,KES,2023-05-01,FROZEN
FT0000224,ACCT0011,PER202305,VAT,ADJ,-31139.75,KES,2023-05-31,FROZEN
FT0000225,ACCT0011,PER202310,VAT,BILL,317424.7,KES,2023-10-01,FROZEN
FT0000226,ACCT0011,PER202402,VAT,BILL,219815.88,KES,2024-02-01,FROZEN
FT0000227,ACCT0011,PER202402,VAT,PAY,-193492.64,KES,2024-02-07,FROZEN
FT0000228,ACCT0011,PER202206,VAT,BILL,452194.91,KES,2022-06-01,FROZEN
FT0000229,ACCT0011,PER202206,VAT,PAY,-442104.67,KES,2022-06-19,FROZEN
FT0000230,ACCT0011,PER202404,VAT,BILL,125877.73,KES,2024-04-01,FROZEN
FT0000231,ACCT0011,PER202404,VAT,PAY,-114432.95,KES,2024-04-12,FROZEN
FT0000232,ACCT0011,PER202404,VAT,PEN,7287.92,KES,2024-05-21,FROZEN
FT0000233,ACCT0011,PER202211,VAT,BILL,311756.63,KES,2022-11-01,FROZEN
FT0000234,ACCT0011,PER202211,VAT,PAY,-326626.61,KES,2022-11-10,FROZEN
FT0000235,ACCT0012,PER202305,CIT,BILL,128798.62,KES,2023-05-01,FROZEN
FT0000236,ACCT0012,PER202305,CIT,PEN,11394.73,KES,2023-06-21,FROZEN
FT0000237,ACCT0012,PER202201,CIT,BILL,122416.82,KES,2022-01-01,FROZEN
FT0000238,ACCT0012,PER202201,CIT,PAY,-103428.4,KES,2022-02-14,FROZEN
FT0000239,ACCT0012,PER202406,CIT,BILL,330823.76,KES,2024-06-01,FROZEN
FT0000240,ACCT0012,PER202406,CIT,PAY,-277745.54,KES,2024-07-14,FROZEN
FT0000241,ACCT0012,PER202307,CIT,BILL,455755.39,KES,2023-07-01,FROZEN
FT0000242,ACCT0012,PER202211,CIT,BILL,388991.78,KES,2022-11-01,FROZEN
FT0000243,ACCT0012,PER202211,CIT,PAY,-381662.85,KES,2022-11-15,FROZEN
FT0000244,ACCT0012,PER202203,CIT,BILL,340493.41,KES,2022-03-01,FROZEN
FT0000245,ACCT0012,PER202303,CIT,BILL,315982.81,KES,2023-03-01,FROZEN
FT0000246,ACCT0012,PER202212,CIT,BILL,223207.48,KES,2022-12-01,FROZEN
FT0000247,ACCT0012,PER202212,CIT,PAY,-209684.65,KES,2022-12-06,FROZEN
FT0000248,ACCT0012,PER202409,CIT,BILL,210674.03,KES,2024-09-01,FROZEN
FT0000249,ACCT0012,PER202409,CIT,PAY,-204755.71,KES,2024-09-24,FROZEN
FT0000250,ACCT0012,PER202210,CIT,BILL,416083.95,KES,2022-10-01,FROZEN
FT0000251,ACCT0012,PER202210,CIT,PAY,-413926.09,KES,2022-10-31,FROZEN
FT0000252,ACCT0012,PER202309,CIT,BILL,435846.49,KES,2023-09-01,FROZEN
FT0000253,ACCT0012,PER202309,CIT,ADJ,22154.21,KES,2023-09-30,FROZEN
FT0000254,ACCT0012,PER202302,CIT,BILL,116679.27,KES,2023-02-01,FROZEN
FT0000255,ACCT0012,PER202302,CIT,PAY,-105553.17,KES,2023-02-26,FROZEN
FT0000256,ACCT0012,PER202311,CIT,BILL,186058.65,KES,2023-11-01,FROZEN
FT0000257,ACCT0012,PER202311,CIT,PEN,19286.32,KES,2023-12-21,FROZEN
FT0000258,ACCT0013,PER202305,CIT,BILL,455146.88,KES,2023-05-01,FROZEN
FT0000259,ACCT0013,PER202305,CIT,PAY,-339074.19,KES,2023-05-09,FROZEN
FT0000260,ACCT0013,PER202305,CIT,PEN,24451.04,KES,2023-06-21,FROZEN
FT0000261,ACCT0013,PER202401,CIT,BILL,62479.64,KES,2024-01-01,FROZEN
FT0000262,ACCT0013,PER202401,CIT,PAY,-51391.25,KES,2024-01-25,FROZEN
FT0000263,ACCT0013,PER202312,CIT,BILL,372854.36,KES,2023-12-01,FROZEN
FT0000264,ACCT0013,PER202207,CIT,BILL,81488.84,KES,2022-07-01,FROZEN
FT0000265,ACCT0013,PER202207,CIT,PAY,-45585.91,KES,2022-08-01,FROZEN
FT0000266,ACCT0013,PER202303,CIT,BILL,143471.37,KES,2023-03-01,FROZEN
FT0000267,ACCT0013,PER202303,CIT,PAY,-90438.87,KES,2023-03-29,FROZEN
FT0000268,ACCT0013,PER202304,CIT,BILL,54180.54,KES,2023-04-01,FROZEN
FT0000269,ACCT0013,PER202304,CIT,PAY,-44789.94,KES,2023-05-12,FROZEN
FT0000270,ACCT0013,PER202201,CIT,BILL,98955.24,KES,2022-01-01,FROZEN
FT0000271,ACCT0013,PER202201,CIT,PAY,-99828.02,KES,2022-01-30,FROZEN
FT0000272,ACCT0013,PER202201,CIT,PEN,7046.66,KES,2022-02-21,FROZEN
FT0000273,ACCT0013,PER202308,CIT,BILL,485691.19,KES,2023-08-01,FROZEN
FT0000274,ACCT0013,PER202308,CIT,PAY,-340035.07,KES,2023-08-09,FROZEN
FT0000275,ACCT0013,PER202306,CIT,BILL,415759.83,KES,2023-06-01,FROZEN
FT0000276,ACCT0013,PER202306,CIT,PAY,-354156.63,KES,2023-06-15,FROZEN
FT0000277,ACCT0013,PER202211,CIT,BILL,450762.86,KES,2022-11-01,FROZEN
FT0000278,ACCT0013,PER202211,CIT,PAY,-457543.99,KES,2022-11-10,FROZEN
FT0000279,ACCT0013,PER202405,CIT,BILL,400264.34,KES,2024-05-01,FROZEN
FT0000280,ACCT0013,PER202405,CIT,PAY,-408217.09,KES,2024-05-09,FROZEN
FT0000281,ACCT0013,PER202405,CIT,PEN,51633.49,KES,2024-06-21,FROZEN
FT0000282,ACCT0013,PER202208,CIT,BILL,165266.87,KES,2022-08-01,FROZEN
FT0000283,ACCT0013,PER202208,CIT,PAY,-87829.33,KES,2022-09-17,FROZEN
FT0000284,ACCT0013,PER202309,CIT,BILL,36461.23,KES,2023-09-01,FROZEN
FT0000285,ACCT0013,PER202309,CIT,PAY,-26150.85,KES,2023-10-08,FROZEN
FT0000286,ACCT0013,PER202309,CIT,PEN,3660.12,KES,2023-10-21,FROZEN
FT0000287,ACCT0013,PER202203,CIT,BILL,26465.69,KES,2022-03-01,FROZEN
FT0000288,ACCT0013,PER202410,CIT,BILL,231731.05,KES,2024-10-01,FROZEN
FT0000289,ACCT0013,PER202410,CIT,PEN,22686.05,KES,2024-11-21,FROZEN
FT0000290,ACCT0013,PER202408,CIT,BILL,344618.26,KES,2024-08-01,FROZEN
FT0000291,ACCT0013,PER202408,CIT,PAY,-360408.84,KES,2024-08-05,FROZEN
FT0000292,ACCT0014,PER202205,PAYE,BILL,229589.13,KES,2022-05-01,FROZEN
