payment_id,account_id,ft_id,payment_date,amount,currency_cd,payment_method,reference_no,status
PAY000052,ACCT0006,FT0000144,2024-11-17,118256.45,KES,ONLINE,REF725510,MATCHED
PAY000053,ACCT0006,FT0000146,2023-05-13,178187.42,KES,MOBILE_MONEY,REF496583,UNMATCHED
PAY000054,ACCT0006,FT0000149,2023-10-02,337524.58,KES,MOBILE_MONEY,REF213844,MATCHED
PAY000055,ACCT0006,FT0000152,2022-11-24,184327.5,KES,MOBILE_MONEY,REF648102,UNMATCHED
PAY000056,ACCT0007,FT0000155,2023-08-18,326929.42,KES,MOBILE_MONEY,REF734924,MATCHED
PAY000057,ACCT0007,FT0000157,2023-05-13,148312.89,KES,MOBILE_MONEY,REF598985,MATCHED
PAY000058,ACCT0007,FT0000162,2022-08-07,449499.43,KES,BANK_TRANSFER,REF197716,UNMATCHED
PAY000059,ACCT0007,FT0000164,2023-01-04,144931.14,KES,MOBILE_MONEY,REF732789,MATCHED
PAY000060,ACCT0007,FT0000166,2022-12-07,48874.09,KES,ONLINE,REF647403,UNMATCHED
PAY000061,ACCT0007,FT0000169,2022-04-08,310931.25,KES,CHEQUE,REF145548,UNMATCHED
PAY000062,ACCT0007,FT0000171,2023-12-25,289704.76,KES,MOBILE_MONEY,REF941272,UNMATCHED
PAY000063,ACCT0008,FT0000175,2023-05-03,162032.19,KES,ONLINE,REF467544,MATCHED
PAY000064,ACCT0008,FT0000177,2022-06-17,322068.82,KES,ONLINE,REF240386,MATCHED
PAY000065,ACCT0008,FT0000183,2023-06-18,61220.02,KES,ONLINE,REF903061,MATCHED
PAY000066,ACCT0008,FT0000185,2022-03-21,34027.14,KES,BANK_TRANSFER,REF397026,UNMATCHED
PAY000067,ACCT0008,FT0000190,2022-01-12,394260.77,KES,CHEQUE,REF298202,MATCHED
PAY000068,ACCT0009,FT0000192,2023-01-01,42411.64,KES,BANK_TRANSFER,REF706063,MATCHED
PAY000069,ACCT0009,FT0000194,2024-04-21,315121.25,KES,BANK_TRANSFER,REF493247,MATCHED
PAY000070,ACCT0009,FT0000198,2022-07-10,189527.96,KES,CHEQUE,REF528705,MATCHED
PAY000071,ACCT0009,FT0000200,2024-07-19,316213.63,KES,BANK_TRANSFER,REF262297,UNMATCHED
PAY000072,ACCT0009,FT0000203,2023-02-06,69332.32,KES,CHEQUE,REF373995,UNMATCHED
PAY000073,ACCT0009,FT0000206,2024-05-27,430845.44,KES,CHEQUE,REF741603,MATCHED
PAY000074,ACCT0009,FT0000208,2023-11-08,91741.21,KES,ONLINE,REF891645,MATCHED
PAY000075,ACCT0010,FT0000210,2023-07-13,123568.1,KES,ONLINE,REF678923,UNMATCHED
PAY000076,ACCT0010,FT0000212,2024-04-04,225738.29,KES,MOBILE_MONEY,REF488196,UNMATCHED
PAY000077,ACCT0010,FT0000215,2024-10-01,296209.57,KES,CHEQUE,REF421549,MATCHED
PAY000078,ACCT0010,FT0000217,2024-12-10,194628.07,KES,ONLINE,REF871523,MATCHED
PAY000079,ACCT0010,FT0000221,2022-01-27,247691.35,KES,BANK_TRANSFER,REF884140,MATCHED
PAY000080,ACCT0011,FT0000227,2024-02-07,193492.64,KES,ONLINE,REF921149,MATCHED
PAY000081,ACCT0011,FT0000229,2022-06-19,442104.67,KES,BANK_TRANSFER,REF324875,UNMATCHED
PAY000082,ACCT0011,FT0000231,2024-04-12,114432.95,KES,CHEQUE,REF939756,MATCHED
PAY000083,ACCT0011,FT0000234,2022-11-10,326626.61,KES,MOBILE_MONEY,REF508004,MATCHED
PAY000084,ACCT0012,FT0000238,2022-02-14,103428.4,KES,BANK_TRANSFER,REF963245,MATCHED
PAY000085,ACCT0012,FT0000240,2024-07-14,277745.54,KES,ONLINE,REF729402,UNMATCHED
PAY000086,ACCT0012,FT0000243,2022-11-15,381662.85,KES,BANK_TRANSFER,REF167193,MATCHED
PAY000087,ACCT0012,FT0000247,2022-12-06,209684.65,KES,MOBILE_MONEY,REF488848,MATCHED
PAY000088,ACCT0012,FT0000249,2024-09-24,204755.71,KES,BANK_TRANSFER,REF859687,UNMATCHED
PAY000089,ACCT0012,FT0000251,2022-10-31,413926.09,KES,ONLINE,REF743789,MATCHED
PAY000090,ACCT0012,FT0000255,2023-02-26,105553.17,KES,BANK_TRANSFER,REF911187,MATCHED
PAY000091,ACCT0013,FT0000259,2023-05-09,339074.19,KES,ONLINE,REF560295,MATCHED
PAY000092,ACCT0013,FT0000262,2024-01-25,51391.25,KES,MOBILE_MONEY,REF991884,MATCHED
PAY000093,ACCT0013,FT0000265,2022-08-01,45585.91,KES,MOBILE_MONEY,REF135241,MATCHED
PAY000094,ACCT0013,FT0000267,2023-03-29,90438.87,KES,MOBILE_MONEY,REF806765,MATCHED
PAY000095,ACCT0013,FT0000269,2023-05-12,44789.94,KES,CHEQUE,REF350878,MATCHED
PAY000096,ACCT0013,FT0000271,2022-01-30,99828.02,KES,MOBILE_MONEY,REF191061,MATCHED
PAY000097,ACCT0013,FT0000274,2023-08-09,340035.07,KES,ONLINE,REF470281,UNMATCHED
PAY000098,ACCT0013,FT0000276,2023-06-15,354156.63,KES,ONLINE,REF714549,MATCHED
PAY000099,ACCT0013,FT0000278,2022-11-10,457543.99,KES,BANK_TRANSFER,REF872722,MATCHED
PAY000100,ACCT0013,FT0000280,2024-05-09,408217.09,KES,BANK_TRANSFER,REF676289,MATCHED
PAY000101,ACCT0013,FT0000283,2022-09-17,87829.33,KES,CHEQUE,REF464354,MATCHED
PAY000102,ACCT0013,FT0000285,2023-10-08,26150.85,KES,MOBILE_MONEY,REF735818,MATCHED
PAY000103,ACCT0013,FT0000291,2024-08-05,360408.84,KES,ONLINE,REF523579,MATCHED
PAY000104,ACCT0014,FT0000293,2022-06-14,128456.74,KES,CHEQUE,REF283537,UNMATCHED
PAY000105,ACCT0014,FT0000298,2023-09-10,104281.0,KES,BANK_TRANSFER,REF685766,MATCHED
PAY000106,ACCT0014,FT0000300,2024-02-17,38074.92,KES,CHEQUE,REF456480,MATCHED
PAY000107,ACCT0014,FT0000302,2023-08-22,234684.24,KES,CHEQUE,REF664032,MATCHED
PAY000108,ACCT0014,FT0000305,2022-10-07,20944.31,KES,ONLINE,REF495397,UNMATCHED
PAY000109,ACCT0015,FT0000307,2024-08-14,251040.1,KES,MOBILE_MONEY,REF894268,MATCHED
PAY000110,ACCT0015,FT0000309,2023-03-01,248359.35,KES,ONLINE,REF814703,UNMATCHED
PAY000111,ACCT0015,FT0000314,2023-11-20,113667.64,KES,BANK_TRANSFER,REF605382,MATCHED
PAY000112,ACCT0015,FT0000316,2023-12-11,152005.78,KES,CHEQUE,REF170835,UNMATCHED
PAY000113,ACCT0015,FT0000319,2022-04-27,193885.65,KES,MOBILE_MONEY,REF809794,MATCHED
PAY000114,ACCT0015,FT0000321,2024-02-13,41094.38,KES,CHEQUE,REF532459,MATCHED
PAY000115,ACCT0015,FT0000323,2022-09-04,171962.91,KES,BANK_TRANSFER,REF834861,MATCHED
PAY000116,ACCT0015,FT0000326,2023-07-01,50823.84,KES,MOBILE_MONEY,REF401244,MATCHED
PAY000117,ACCT0015,FT0000328,2022-09-05,43992.72,KES,ONLINE,REF806423,MATCHED
PAY000118,ACCT0015,FT0000332,2023-03-18,364409.51,KES,BANK_TRANSFER,REF681489,MATCHED
PAY000119,ACCT0015,FT0000336,2023-08-07,263933.39,KES,ONLINE,REF429119,MATCHED
PAY000120,ACCT0015,FT0000338,2024-09-22,181395.51,KES,MOBILE_MONEY,REF701581,MATCHED
PAY000121,ACCT0015,FT0000340,2023-09-13,35032.31,KES,MOBILE_MONEY,REF882401,MATCHED
PAY000122,ACCT0016,FT0000343,2023-05-11,248788.89,KES,ONLINE,REF872918,MATCHED
PAY000123,ACCT0016,FT0000345,2022-08-07,231851.45,KES,MOBILE_MONEY,REF871153,MATCHED
PAY000124,ACCT0016,FT0000348,2024-12-05,228472.77,KES,CHEQUE,REF316823,MATCHED
PAY000125,ACCT0016,FT0000350,2023-06-07,36312.91,KES,MOBILE_MONEY,REF975498,MATCHED
PAY000126,ACCT0016,FT0000352,2024-11-11,442131.04,KES,CHEQUE,REF263573,MATCHED
PAY000127,ACCT0016,FT0000355,2022-06-22,472643.46,KES,BANK_TRANSFER,REF182300,UNMATCHED
PAY000128,ACCT0016,FT0000359,2022-05-25,322430.21,KES,BANK_TRANSFER,REF901368,MATCHED
PAY000129,ACCT0016,FT0000363,2024-04-12,318386.98,KES,ONLINE,REF489227,MATCHED
PAY000130,ACCT0016,FT0000365,2023-09-23,71345.74,KES,ONLINE,REF702427,MATCHED
PAY000131,ACCT0016,FT0000367,2022-03-06,307900.1,KES,ONLINE,REF291755,MATCHED
PAY000132,ACCT0016,FT0000370,2024-03-13,302425.07,KES,ONLINE,REF332881,MATCHED
PAY000133,ACCT0016,FT0000372,2024-11-22,15015.65,KES,BANK_TRANSFER,REF651273,UNMATCHED
PAY000134,ACCT0016,FT0000374,2023-04-20,63992.82,KES,ONLINE,REF667036,MATCHED
PAY000135,ACCT0017,FT0000377,2022-03-29,24810.44,KES,CHEQUE,REF512842,MATCHED
PAY000136,ACCT0017,FT0000379,2023-11-21,252883.82,KES,ONLINE,REF226215,UNMATCHED
PAY000137,ACCT0017,FT0000381,2022-09-29,85099.43,KES,CHEQUE,REF822689,MATCHED
PAY000138,ACCT0017,FT0000383,2024-01-13,209502.6,KES,BANK_TRANSFER,REF806848,MATCHED
PAY000139,ACCT0017,FT0000385,2022-11-05,131902.16,KES,ONLINE,REF709231,MATCHED
PAY000140,ACCT0017,FT0000387,2022-06-11,143290.97,KES,CHEQUE,REF479167,MATCHED
PAY000141,ACCT0017,FT0000389,2024-07-15,83225.49,KES,MOBILE_MONEY,REF675210,MATCHED
PAY000142,ACCT0017,FT0000391,2024-03-24,343541.28,KES,MOBILE_MONEY,REF382495,UNMATCHED
PAY000143,ACCT0017,FT0000393,2023-12-16,201729.95,KES,CHEQUE,REF483699,MATCHED
PAY000144,ACCT0017,FT0000395,2024-10-15,72955.12,KES,ONLINE,REF544536,MATCHED
PAY000145,ACCT0017,FT0000397,2023-08-02,247531.56,KES,ONLINE,REF834750,MATCHED
PAY000146,ACCT0017,FT0000400,2023-12-27,78034.13,KES,CHEQUE,REF995825,UNMATCHED
PAY000147,ACCT0018,FT0000403,2024-10-03,397584.84,KES,CHEQUE,REF572623,MATCHED
PAY000148,ACCT0018,FT0000407,2022-10-16,202658.58,KES,MOBILE_MONEY,REF703867,MATCHED
PAY000149,ACCT0018,FT0000411,2024-04-30,394431.18,KES,BANK_TRANSFER,REF855829,MATCHED
PAY000150,ACCT0018,FT0000413,2022-01-30,88526.16,KES,MOBILE_MONEY,REF682316,UNMATCHED
PAY000151,ACCT0018,FT0000416,2023-08-26,304238.03,KES,ONLINE,REF305587,MATCHED
PAY000152,ACCT0018,FT0000420,2022-08-24,249166.26,KES,MOBILE_MONEY,REF595962,MATCHED
PAY000153,ACCT0018,FT0000423,2023-02-18,340057.45,KES,MOBILE_MONEY,REF541996,UNMATCHED
PAY000154,ACCT0018,FT0000425,2022-07-05,43778.23,KES,MOBILE_MONEY,REF990649,MATCHED
PAY000155,ACCT0018,FT0000427,2023-11-15,128426.64,KES,ONLINE,REF414608,MATCHED
PAY000156,ACCT0018,FT0000429,2023-12-23,182958.1,KES,BANK_TRANSFER,REF517754,MATCHED
PAY000157,ACCT0019,FT0000435,2024-06-06,454660.73,KES,MOBILE_MONEY,REF162952,MATCHED
PAY000158,ACCT0019,FT0000440,2022-10-16,441191.67,KES,CHEQUE,REF599687,MATCHED
PAY000159,ACCT0019,FT0000443,2023-04-29,443896.42,KES,ONLINE,REF880762,MATCHED
PAY000160,ACCT0019,FT0000446,2023-09-11,188521.83,KES,CHEQUE,REF478496,MATCHED
PAY000161,ACCT0019,FT0000449,2024-12-02,101792.05,KES,CHEQUE,REF460857,MATCHED
PAY000162,ACCT0019,FT0000454,2023-07-27,268643.76,KES,ONLINE,REF227126,MATCHED
PAY000163,ACCT0019,FT0000457,2022-02-23,293266.62,KES,MOBILE_MONEY,REF704875,MATCHED
PAY000164,ACCT0019,FT0000462,2024-09-11,284276.96,KES,CHEQUE,REF472358,MATCHED
PAY000165,ACCT0019,FT0000465,2023-03-09,107176.34,KES,ONLINE,REF912378,UNMATCHED
PAY000166,ACCT0020,FT0000469,2022-11-27,278932.64,KES,BANK_TRANSFER,REF499581,MATCHED
PAY000167,ACCT0020,FT0000472,2022-10-16,187386.98,KES,ONLINE,REF762398,MATCHED
PAY000168,ACCT0020,FT0000474,2024-11-29,81587.21,KES,MOBILE_MONEY,REF771697,MATCHED
PAY000169,ACCT0020,FT0000476,2023-10-21,176324.15,KES,ONLINE,REF761938,UNMATCHED
PAY000170,ACCT0020,FT0000478,2024-04-05,352357.07,KES,BANK_TRANSFER,REF182954,MATCHED
PAY000171,ACCT0020,FT0000481,2024-06-25,120684.16,KES,CHEQUE,REF339303,MATCHED
PAY000172,ACCT0021,FT0000483,2023-09-26,243851.88,KES,CHEQUE,REF784733,MATCHED
PAY000173,ACCT0021,FT0000485,2025-01-01,59129.29,KES,CHEQUE,REF734792,UNMATCHED
PAY000174,ACCT0021,FT0000487,2023-01-07,170606.73,KES,CHEQUE,REF566509,MATCHED
PAY000175,ACCT0021,FT0000490,2024-08-05,239005.76,KES,ONLINE,REF534098,MATCHED
PAY000176,ACCT0021,FT0000493,2023-03-22,49724.82,KES,MOBILE_MONEY,REF995706,MATCHED
PAY000177,ACCT0021,FT0000495,2023-04-03,56608.73,KES,MOBILE_MONEY,REF863124,MATCHED
PAY000178,ACCT0022,FT0000498,2024-11-02,339522.9,KES,CHEQUE,REF880009,MATCHED
PAY000179,ACCT0022,FT0000501,2022-11-16,479294.36,KES,MOBILE_MONEY,REF275018,UNMATCHED
PAY000180,ACCT0022,FT0000503,2024-10-20,268426.48,KES,BANK_TRANSFER,REF200195,MATCHED
PAY000181,ACCT0022,FT0000505,2022-10-17,24778.95,KES,ONLINE,REF675074,MATCHED
PAY000182,ACCT0022,FT0000507,2022-12-15,40554.81,KES,BANK_TRANSFER,REF908382,UNMATCHED
PAY000183,ACCT0022,FT0000510,2024-12-20,59667.12,KES,BANK_TRANSFER,REF208976,MATCHED
PAY000184,ACCT0022,FT0000514,2022-07-05,392359.42,KES,MOBILE_MONEY,REF188406,UNMATCHED
PAY000185,ACCT0022,FT0000516,2023-02-09,331457.27,KES,CHEQUE,REF340497,MATCHED
PAY000186,ACCT0022,FT0000518,2024-05-20,152394.65,KES,CHEQUE,REF564687,MATCHED
PAY000187,ACCT0022,FT0000520,2024-01-05,273134.09,KES,MOBILE_MONEY,REF652329,MATCHED
PAY000188,ACCT0023,FT0000524,2022-08-18,373721.91,KES,BANK_TRANSFER,REF136862,MATCHED
PAY000189,ACCT0023,FT0000526,2024-01-16,62160.66,KES,CHEQUE,REF599284,UNMATCHED
PAY000190,ACCT0023,FT0000529,2024-03-02,83958.55,KES,CHEQUE,REF675191,UNMATCHED
PAY000191,ACCT0023,FT0000533,2023-12-01,493272.46,KES,MOBILE_MONEY,REF831510,MATCHED
PAY000192,ACCT0023,FT0000535,2024-08-19,427915.67,KES,ONLINE,REF761701,UNMATCHED
PAY000193,ACCT0023,FT0000539,2024-09-26,464583.46,KES,CHEQUE,REF464032,UNMATCHED
PAY000194,ACCT0024,FT0000544,2024-12-14,8105.0,KES,MOBILE_MONEY,REF943797,MATCHED
PAY000195,ACCT0024,FT0000547,2024-08-09,29282.11,KES,ONLINE,REF422823,MATCHED
PAY000196,ACCT0024,FT0000549,2022-09-18,6436.89,KES,ONLINE,REF372427,MATCHED
PAY000197,ACCT0024,FT0000551,2024-07-15,323717.75,KES,CHEQUE,REF111068,MATCHED
PAY000198,ACCT0024,FT0000553,2024-10-16,214574.16,KES,MOBILE_MONEY,REF460589,MATCHED
PAY000199,ACCT0024,FT0000556,2024-03-10,370178.52,KES,ONLINE,REF661091,MATCHED
PAY000200,ACCT0024,FT0000559,2022-12-21,327664.01,KES,ONLINE,REF892170,UNMATCHED
PAY000201,ACCT0024,FT0000562,2022-07-06,23448.27,KES,CHEQUE,REF109576,UNMATCHED
PAY000202,ACCT0024,FT0000564,2023-12-29,274081.72,KES,CHEQUE,REF726003,MATCHED
PAY000203,ACCT0024,FT0000567,2023-03-30,49276.63,KES,BANK_TRANSFER,REF674842,MATCHED
PAY000204,ACCT0024,FT0000570,2023-09-02,192871.49,KES,MOBILE_MONEY,REF531736,UNMATCHED
PAY000205,ACCT0024,FT0000572,2024-07-23,197254.35,KES,ONLINE,REF362035,MATCHED
PAY000206,ACCT0025,FT0000575,2024-04-04,171291.67,KES,ONLINE,REF968668,UNMATCHED
PAY000207,ACCT0025,FT0000578,2022-12-15,286163.15,KES,MOBILE_MONEY,REF375754,MATCHED
PAY000208,ACCT0025,FT0000580,2022-09-28,455810.87,KES,ONLINE,REF755698,MATCHED
PAY000209,ACCT0025,FT0000582,2025-01-16,84849.49,KES,CHEQUE,REF398505,MATCHED
PAY000210,ACCT0025,FT0000586,2024-06-13,29416.13,KES,ONLINE,REF297132,MATCHED
PAY000211,ACCT0025,FT0000589,2023-02-19,128670.25,KES,MOBILE_MONEY,REF243260,MATCHED
PAY000212,ACCT0025,FT0000593,2024-04-10,230131.96,KES,BANK_TRANSFER,REF767830,UNMATCHED
PAY000213,ACCT0025,FT0000595,2024-07-08,174906.53,KES,ONLINE,REF385353,UNMATCHED
PAY000214,ACCT0026,FT0000599,2022-04-14,181353.58,KES,MOBILE_MONEY,REF436219,MATCHED
PAY000215,ACCT0026,FT0000602,2023-11-04,188238.78,KES,MOBILE_MONEY,REF152042,MATCHED
PAY000216,ACCT0026,FT0000606,2024-02-22,287737.96,KES,MOBILE_MONEY,REF207241,MATCHED
PAY000217,ACCT0026,FT0000608,2023-06-17,103790.76,KES,CHEQUE,REF231113,UNMATCHED
PAY000218,ACCT0026,FT0000610,2022-11-16,77890.56,KES,BANK_TRANSFER,REF344119,MATCHED
PAY000219,ACCT0026,FT0000612,2024-09-17,138408.2,KES,MOBILE_MONEY,REF115440,UNMATCHED
PAY000220,ACCT0026,FT0000615,2024-03-03,112458.3,KES,MOBILE_MONEY,REF458521,UNMATCHED
PAY000221,ACCT0026,FT0000617,2022-06-07,81931.67,KES,CHEQUE,REF923892,UNMATCHED
PAY000222,ACCT0026,FT0000619,2022-10-16,85967.87,KES,CHEQUE,REF586208,MATCHED
PAY000223,ACCT0026,FT0000621,2023-02-16,341575.65,KES,CHEQUE,REF184120,MATCHED
PAY000224,ACCT0026,FT0000625,2023-06-04,406135.02,KES,BANK_TRANSFER,REF379449,UNMATCHED
PAY000225,ACCT0027,FT0000627,2022-04-04,61702.55,KES,BANK_TRANSFER,REF669578,UNMATCHED
PAY000226,ACCT0027,FT0000629,2022-01-01,245881.29,KES,MOBILE_MONEY,REF301528,MATCHED
PAY000227,ACCT0027,FT0000632,2022-09-12,192313.7,KES,ONLINE,REF968485,MATCHED
PAY000228,ACCT0027,FT0000635,2023-03-18,98919.16,KES,BANK_TRANSFER,REF905459,MATCHED
PAY000229,ACCT0027,FT0000638,2022-03-20,213242.53,KES,ONLINE,REF908688,UNMATCHED
PAY000230,ACCT0028,FT0000642,2024-08-14,478730.89,KES,MOBILE_MONEY,REF873449,MATCHED
PAY000231,ACCT0028,FT0000644,2022-05-05,29600.67,KES,MOBILE_MONEY,REF583220,MATCHED
PAY000232,ACCT0028,FT0000648,2022-11-11,195412.65,KES,MOBILE_MONEY,REF595793,UNMATCHED
PAY000233,ACCT0028,FT0000650,2022-06-25,350734.16,KES,CHEQUE,REF438756,MATCHED
PAY000234,ACCT0028,FT0000653,2024-04-22,31680.94,KES,BANK_TRANSFER,REF880900,MATCHED
PAY000235,ACCT0028,FT0000656,2023-10-06,250203.53,KES,CHEQUE,REF604605,MATCHED
PAY000236,ACCT0028,FT0000658,2024-03-11,188280.57,KES,MOBILE_MONEY,REF477934,MATCHED
PAY000237,ACCT0028,FT0000660,2024-10-21,30128.87,KES,MOBILE_MONEY,REF218414,MATCHED
PAY000238,ACCT0028,FT0000662,2023-07-20,81382.07,KES,ONLINE,REF440277,MATCHED
PAY000239,ACCT0028,FT0000664,2024-12-06,42180.93,KES,MOBILE_MONEY,REF932978,MATCHED
PAY000240,ACCT0028,FT0000666,2023-06-08,10004.89,KES,BANK_TRANSFER,REF515035,MATCHED
PAY000241,ACCT0029,FT0000668,2023-07-18,158215.33,KES,BANK_TRANSFER,REF144033,UNMATCHED
PAY000242,ACCT0029,FT0000670,2024-03-31,27334.58,KES,MOBILE_MONEY,REF489439,MATCHED
PAY000243,ACCT0029,FT0000673,2022-06-26,116761.32,KES,MOBILE_MONEY,REF265358,UNMATCHED
PAY000244,ACCT0029,FT0000675,2023-05-12,282451.73,KES,BANK_TRANSFER,REF819265,MATCHED
PAY000245,ACCT0030,FT0000678,2023-09-12,512245.22,KES,BANK_TRANSFER,REF162678,MATCHED
PAY000246,ACCT0030,FT0000680,2023-07-29,440991.63,KES,MOBILE_MONEY,REF835395,MATCHED
PAY000247,ACCT0030,FT0000683,2023-04-10,48149.78,KES,MOBILE_MONEY,REF611540,MATCHED
PAY000248,ACCT0030,FT0000687,2022-10-05,411193.19,KES,CHEQUE,REF685472,MATCHED
PAY000249,ACCT0030,FT0000689,2024-03-11,53154.08,KES,ONLINE,REF868804,MATCHED
PAY000250,ACCT0030,FT0000692,2024-02-28,323879.01,KES,BANK_TRANSFER,REF822730,UNMATCHED
PAY000251,ACCT0030,FT0000695,2024-07-15,341943.64,KES,CHEQUE,REF859587,MATCHED
PAY000252,ACCT0030,FT0000697,2022-12-23,309955.77,KES,CHEQUE,REF141406,UNMATCHED
PAY000253,ACCT0031,FT0000701,2023-09-15,120619.1,KES,ONLINE,REF686179,MATCHED
PAY000254,ACCT0031,FT0000704,2023-10-16,370916.29,KES,ONLINE,REF298994,MATCHED
PAY000255,ACCT0031,FT0000706,2024-06-26,131227.84,KES,CHEQUE,REF439403,UNMATCHED
PAY000256,ACCT0031,FT0000708,2023-02-13,311349.17,KES,CHEQUE,REF971733,MATCHED
